"Feature ID","Area","Feature","User Story","Expected Behavior From Code","Source Files","Availability / Gate","Existing Coverage","Test Status","Error Log","Fix Status","Retest Status","Last Verified","Linear"
"IOS-011","Chat","Native chat send, streaming, retry, and web handoff","As an internal tester, I want to ask Jovie a question, see streaming replies, retry failed turns, and continue on web when a task requires it.","MobileChatView sends through ChatRepository, MobileChatClient parses NDJSON stream events, cache hydrates history, failed turns expose Retry, and handoff rows link to web.","apps/ios/Jovie/Features/Chat/MobileChatView.swift; apps/ios/Jovie/Core/ChatRepository.swift; apps/ios/Jovie/Core/MobileChatClient.swift; apps/ios/Jovie/Core/ChatCache.swift","Ready profiles only; now no alpha/runtime rollout gate","MobileChatClientTests cover ChatCache plus stream events for turn.reserved, assistant.delta, assistant.completed, web.handoff, error, malformed JSON, and empty responses; ChatRepositoryTests; prior UI harness coverage exists in JovieUITests","Passed: ChatCache, stream parser, ChatRepository, chat UI presence, and draft persistence coverage is targeted","MobileChatClient stream parser behavior was previously overclaimed because the test file only exercised ChatCache round-trip behavior","Added focused MobileChatClient stream parser assertions for success and failure events, and normalized malformed stream JSON to MobileChatClientError.decodingFailed","Retest passed: MobileChatClientTests suite covered parser success, malformed JSON, empty response, and cache round-trip","2026-06-22","JOV-3436"
"IOS-012","Chat","Recent conversations","As a returning chat user, I want recent conversations visible in the More menu and selectable into the chat surface.","ChatRepository refreshes conversations, AppShell menu lists up to five recent conversations, and selecting one opens the conversation then switches to Chat.","apps/ios/Jovie/Core/ChatRepository.swift; apps/ios/Jovie/Features/AppShell/AppShellView.swift","Ready profiles only; now no alpha/runtime rollout gate","ChatRepositoryTests; JovieUITests.testRecentConversationSelectionOpensCachedChat","Passed: repository behavior and visible recent-conversation selection covered","Visible recent-conversation selection lacked a deterministic UI fixture; tapping the menu row did not reliably open cached chat in non-live UI-test mode before JOV-3396","Deterministic recent-conversation launch fixture, stable full-width row target, cache-first open, and non-live offline chat client added","Retest passed: focused UI test opens the cached Launch plan conversation and focused repository test verifies cached messages render before network refresh","2026-06-21","JOV-3396"
"IOS-013","Settings","Settings, external links, billing, and logout","As a signed-in creator, I want account settings, support/legal links, billing, build info, and logout in one place.","SettingsView shows account identity, Support/Billing/Privacy/Terms rows, Version/Build rows, and a Log Out button that clears native session and returns to signed out.","apps/ios/Jovie/Features/Settings/SettingsView.swift; apps/ios/Jovie/Features/AppShell/AppShellView.swift; apps/ios/Jovie/App/AppState.swift","Always on for authenticated shell","JovieUITests full-screen settings rows/logout; SettingsEscapeTrapGuardTests; AppStateTests sign-out and billing URL","Passed: settings full-screen navigation, visible Support/Billing/Privacy/Terms/Version/Build rows, logout, billing URL, and sign-out state tests passed","Visible settings link/build rows were previously implied by the implementation but not asserted by deterministic UI coverage","Added focused visible-row assertions to the settings UI test","Retest passed: focused settings UI test verified rows and logout","2026-06-22","JOV-3437"
"IOS-014","Intents","Siri and Shortcuts app intents","As a power user, I want Siri or Shortcuts to open Chat, prefill a message, or continue the last conversation.","JovieAppIntents enqueue IntentNavigationStore requests; AppShell consumes them once, switches to Chat, and pre-fills draft text for send-message intents when chat is available.","apps/ios/Jovie/Features/Intents/JovieAppIntents.swift; apps/ios/Jovie/Features/Intents/IntentNavigationStore.swift; apps/ios/Jovie/Features/AppShell/AppShellView.swift; apps/ios/Jovie/Features/AppShell/AppShellIntentNavigation.swift","Ready profiles only; now effectively available whenever app shell has a ready profile","JovieAppIntentsTests; IntentNavigationStoreTests; AppShellIntentNavigationTests","Passed: app-intent enqueue, navigation store, openChat, continueLastConversation, sendMessage draft prefill, chat-disabled no-op, and consume-once shell navigation tests passed","App Intent enqueue behavior was covered, but AppShell consumer tab/draft transitions were not separately asserted","Extracted AppShell intent navigation reducer and added focused shell-consumer tests","Retest passed: AppShellIntentNavigationTests covered 5 shell-consumer cases","2026-06-22","JOV-3440"
"IOS-015","Reliability","Observability and redaction","As engineering, I want production auth and routing failures traced without leaking sensitive data.","Observability enables Sentry only in live launch mode, sets/clears user id, records breadcrumbs, and redacts sensitive URL/query data.","apps/ios/Jovie/Core/Observability/Observability.swift; apps/ios/Jovie/Core/Observability/ObservabilityRedactor.swift; apps/ios/Jovie/App/JovieApp.swift","Live launch mode only","ObservabilityTests; ObservabilityRedactionTests","Passed: observability user-id, span, breadcrumb, and redaction tests passed","None recorded","No issue found","Passed after JOV-3372 wrapper fix","2026-06-21","JOV-3372"
"IOS-016","Design System","Dark System B theme and layout stability primitives","As a user, I want the app to feel consistent, dark-native, and stable across loading and loaded states.","JovieTheme centralizes colors, fonts, spacing, radius, surfaces, buttons, and logo; key async views reserve stable footprints for skeletons, QR, toolbar, and composer. The removed bottom-bar safeAreaInset (JOV-3670) reclaims its space for composer/content — no ghost spacer footprint; layout stability is re-verified across streaming/offline/empty/chatEnabled=false states post-removal.","apps/ios/Jovie/DesignSystem/JovieTheme.swift; apps/ios/Jovie/Features/Auth/AuthScreen.swift; apps/ios/Jovie/Features/Dashboard/DashboardView.swift; apps/ios/Jovie/Features/Chat/MobileChatView.swift; apps/ios/Jovie/Features/AppShell/AppShellView.swift","Always on","AuthScreenStyleGuardTests; QRCodeRendererTests; iOS best-practices lint; post-pill-removal layout-stability UI guard","Passed: ios:lint, AuthScreenStyleGuardTests, QRCodeRendererTests, post-removal layout-stability guard, and UI screenshots/attachments generated by XCTest","None recorded","No issue found","Passed — no ghost footprint after bottom-bar removal (JOV-3670)","2026-07-02","JOV-3670"
"IOS-017","QA Harness","Deterministic UI-test launch modes","As CI, I want deterministic app states for signed-out, ready, chat, settings, venue, splash, auth callback, and live auth smoke tests.","LaunchMode parses -ui-testing arguments, RootView/AppState boot known states, and env-gated tests opt into real browser auth and runtime performance evidence.","apps/ios/Jovie/App/LaunchMode.swift; apps/ios/Jovie/App/RootView.swift; apps/ios/JovieUITests/JovieUITests.swift; apps/ios/scripts/run-xcodebuild.sh","Always on in DEBUG/test builds","JovieUITests launchMockApp helpers and env-gated live/perf tests","Passed: deterministic UI modes passed; live auth and perf tests intentionally skipped without env","First run failed missing ignored Configuration.local.plist; fixed wrapper to call ensure-configuration.sh","Fixed run-xcodebuild.sh local setup path","Retest passed: pnpm run ios:test succeeded after fix","2026-06-21","JOV-3372"
"IOS-018","Chat","Chat empty state and offline intro copy","As a ready chat user opening Chat before any history exists, I want a clear empty state and offline fallback so I know what Chat can do and what remains local.","MobileChatView and its deterministic placeholder show Ask Jovie with profile/release/next-move guidance when the timeline is empty, switch the body copy to offline cached-history/draft guidance when offline, and keep the composer mounted below the empty state.","apps/ios/Jovie/Features/Chat/MobileChatView.swift; apps/ios/Jovie/App/RootView.swift; apps/ios/Jovie/Core/ChatRepository.swift","Ready profiles only; now no alpha/runtime rollout gate","JovieUITests online empty Chat assertion and offline Chat launch assertion; ChatRepositoryTests cover failed send offline state","Passed: focused chat empty/offline UI tests verify online intro copy, offline cached-history copy, and offline composer placeholder","Missing from the canonical ledger before JOV-3438; placeholder offline copy was shorter than the real chat view copy","Aligned placeholder offline copy with the real chat view and added -ui-testing-chat-offline launch mode plus UI assertions","Retest passed: focused online empty Chat and offline Chat UI tests verified intro copy","2026-06-22","JOV-3443"
"IOS-019","Shell","Recent conversations empty state in More menu","As a returning chat user with no recent threads, I want the More menu to explain why recent conversations are absent.","When Chat is enabled and recentConversations is empty, AppShellView shows the Recent section with Start a conversation to see recent conversations here; when conversations exist, it lists up to five selectable conversation titles.","apps/ios/Jovie/Features/AppShell/AppShellView.swift; apps/ios/Jovie/Core/ChatRepository.swift","Ready profiles only; now no alpha/runtime rollout gate","JovieUITests shell menu/settings navigation; recent-conversation selectable populated state is covered by JOV-3396","Passed: shell menu UI test verifies the empty Recent copy and still opens full-screen Settings","Missing from the canonical ledger before JOV-3438; focused empty-state assertion was added after the ledger row","Added explicit UI assertion for the Recent empty-state copy","Retest passed: focused shell menu/settings UI test verified empty Recent copy","2026-06-22","JOV-3442"
"IOS-020","Profile","Dashboard QR unavailable fallback","As a ready creator without a QR payload yet, I want the dashboard QR tile to say the QR is unavailable instead of looking broken.","QRCodeCardView reserves the same square footprint, renders a QR image when payload exists, and otherwise shows QR unavailable copy/accessibility inside the reserved plate; -ui-testing-qr-unavailable loads a ready profile with a nil qrPayload.","apps/ios/Jovie/Features/Dashboard/DashboardView.swift; apps/ios/Jovie/Core/QRCodeRenderer.swift; apps/ios/Jovie/App/LaunchMode.swift","Always on for ready profiles; fallback appears when qrPayload is nil","QRCodeRendererTests; AppStateTests no-QR launch mode; JovieUITests no-QR dashboard fallback","Passed: focused AppState and UI tests verify a ready no-QR profile exposes QR unavailable while profile actions remain visible","Missing from the canonical ledger before JOV-3438; no dedicated no-payload fallback assertion existed","Added previewReadyWithoutQR fixture, -ui-testing-qr-unavailable launch mode, and focused dashboard fallback assertion","Retest passed: focused no-QR AppState and dashboard UI tests verified fallback copy/accessibility","2026-06-22","JOV-3444"
"IOS-021","Audience","Read-only audience highlights drawer surface","As a ready creator on mobile, I want read-only audience highlights reachable from the shell drawer with a chat handoff for deeper questions.","AppShellLeftDrawer exposes an Audience surface; AudienceHighlightsView renders hero metric + delta, four stat tiles, and an Ask Jovie CTA; tapping the CTA switches to Chat with an audience-scoped prompt prefilled; /api/mobile/v1/audience/highlights serves condensed analytics.","apps/ios/Jovie/Features/Audience/AudienceHighlightsView.swift; apps/ios/Jovie/Features/AppShell/AppShellLeftDrawer.swift; apps/ios/Jovie/Features/AppShell/AppShellView.swift; apps/ios/Jovie/Core/MobileAudienceHighlightsResponse.swift; apps/web/app/api/mobile/v1/audience/highlights/route.ts","Ready profiles only; drawer-reachable, not a bottom-bar destination","MobileAudienceHighlightsResponseTests; AudienceHighlightsRepositoryTests; APIClientTests; JovieUITests audience highlights and drawer tests; apps/web/tests/unit/api/mobile/v1/audience-highlights.test.ts","Passed: audience highlights UI/API/unit tests passed; auth callback harness flake remains intermittent on full ios:test batch","None recorded","Implemented read-only highlights surface, mobile API, drawer routing, and audience-scoped chat CTA","Retest passed: focused audience UI tests, web unit tests, and ios unit suite passed","2026-06-28","JOV-3638"
"IOS-022","Chat","Entity and skill mention chips render inline in the transcript","As a chat user, I want @kind:id[label] entity mentions and /skill:id skill invocations to render as clean labeled inline chips, never as raw wire syntax, in both assistant and user bubbles.","MobileChatContentParser/MobileChatProseTokenizer parse the four known entity kinds (release, artist, track, event) plus skill tokens into inline MobileChatProseRun chips with kind accents (JovieTheme.EntityAccent), ported 1:1 from apps/web/lib/chat/tokens.ts (ENTITY_PATTERN, unescapeLabel); unknown kinds render verbatim (web parity) with a Sentry breadcrumb for contract-drift visibility; streaming suppresses strict in-progress token prefixes only, never plain @mentions; parse results are memoized (NSCache) keyed by (content, isStreaming); oversized labels truncate to ~1 line with an ellipsis.","apps/ios/Jovie/Core/MobileChatContentParser.swift; apps/ios/Jovie/Core/MobileChatModels.swift; apps/ios/Jovie/Features/Chat/MobileChatView.swift; apps/ios/Jovie/DesignSystem/JovieTheme.swift; apps/ios/Jovie/App/LaunchMode.swift; apps/ios/Jovie/App/RootView.swift; apps/ios/Jovie/App/AppState.swift; apps/ios/Jovie/Core/ChatRepository.swift; apps/web/lib/chat/tokens.ts; apps/web/lib/mobile/chat/turn-handler-tokens.test.ts","Always on wherever chat transcript renders (assistant + user bubbles); render-only in v1, no chip tap navigation","MobileChatContentParserTests entity/skill parsing, escape round-trip, streaming suppression, memoization, unmapped-kind breadcrumb, truncation, and total-function hostile-input suites; JovieUITests.testEntityAndSkillTokensRenderAsLabelsNotRawSyntax (-ui-testing-chat-entity-fixture); apps/web mobile chat turn-handler-tokens contract test asserting tokens pass the NDJSON path unstripped","Passed: iOS unit + UI test suites and the web contract test all passed","Raw @kind:id[label] / /skill:id wire tokens rendered verbatim in the transcript instead of chips; the -ui-testing-chat-entity-fixture launch mode existed but was never wired into AppState/RootView, and the parser did not memoize or truncate oversized labels","Wired the entity fixture into AppState.completeLaunch and RootView's chat-repository bootstrap task; added NSCache-backed parse memoization; added ~1-line ellipsis truncation for chip labels; added the unmapped-kind Sentry breadcrumb","Retest passed: focused MobileChatContentParserTests suite and the new entity-fixture UI test both passed","2026-07-02","JOV-3608"
"IOS-023","Chat","Voice memo → editable action draft (on-device Speech)","As a creator on iOS, I want to talk a memo so it becomes an editable action draft without typing.","Talk FAB opens TalkOverlayView; VoiceCaptureService uses SFSpeechRecognizer with requiresOnDeviceRecognition when supportsOnDeviceRecognition; Done stops capture into review TextField; Use Draft inserts VoiceMemoActionDraft into chatDraft (never auto-send); mic/speech denials explain Settings.","apps/ios/Jovie/Core/VoiceCaptureService.swift; apps/ios/Jovie/Features/AppShell/TalkOverlayView.swift; apps/ios/Jovie/Features/AppShell/AppShellView.swift; apps/ios/Jovie/Info.plist","Ready profiles with chat enabled; Talk FAB / StartVoiceCaptureIntent","VoiceCaptureServiceTests; AppShellIntentNavigationTests voice capture; JovieAppIntentsTests; ObservabilityTests voice events; JovieUITests Talk FAB","Passed: VoiceCaptureServiceTests + related suites (23 tests) via run-xcodebuild focused filters; ios:lint clean","Prior path auto-sent transcript; on-device not preferred","Prefer on-device STT; review → chatDraft; Settings permission copy; unit tests","Retest passed: focused VoiceCaptureServiceTests suite","2026-07-21","JOV-2928 / #10380"
